,Company,Open,High,Low,Close,Volume,Dividends,Stock Splits,Year,Month,Day
0,^TNX,2.433000087738037,2.753999948501587,2.424999952316284,2.720000028610229,0,0,0,2018,1,1
1,^TNX,2.743000030517578,2.943000078201294,2.721999883651733,2.868000030517578,0,0,0,2018,2,1
2,^TNX,2.831000089645386,2.936000108718872,2.739000082015991,2.740999937057495,0,0,0,2018,3,1
3,^TNX,2.763000011444092,3.035000085830688,2.717000007629395,2.936000108718872,0,0,0,2018,4,1
4,^TNX,2.966000080108643,3.115000009536743,2.759000062942505,2.822000026702881,0,0,0,2018,5,1
5,^TNX,2.900000095367432,3.009000062942505,2.823999881744385,2.848999977111816,0,0,0,2018,6,1
6,^TNX,2.828999996185303,2.990000009536743,2.811000108718872,2.96399998664856,0,0,0,2018,7,1
7,^TNX,2.992000102996826,3.016000032424927,2.808000087738037,2.852999925613403,0,0,0,2018,8,1
8,^TNX,2.86899995803833,3.109999895095825,2.868000030517578,3.055999994277954,0,0,0,2018,9,1
9,^TNX,3.085999965667725,3.247999906539917,3.046000003814697,3.158999919891357,0,0,0,2018,10,1
10,^TNX,3.164000034332275,3.239000082015991,3.007999897003174,3.013000011444092,0,0,0,2018,11,1
11,^TNX,3.040999889373779,3.040999889373779,2.678999900817871,2.686000108718872,0,0,0,2018,12,1
12,^TNX,2.651999950408936,2.799000024795532,2.553999900817871,2.634999990463257,0,0,0,2019,1,1
13,^TNX,2.63100004196167,2.733999967575073,2.625,2.710999965667725,0,0,0,2019,2,1
14,^TNX,2.736999988555908,2.759000062942505,2.355999946594238,2.414000034332275,0,0,0,2019,3,1
15,^TNX,2.441999912261963,2.614000082015991,2.424000024795532,2.509000062942505,0,0,0,2019,4,1
16,^TNX,2.503999948501587,2.575999975204468,2.13700008392334,2.141999959945679,0,0,0,2019,5,1
17,^TNX,2.111999988555908,2.174000024795532,1.975000023841858,2.0,0,0,0,2019,6,1
18,^TNX,2.026000022888184,2.148000001907349,1.942999958992004,2.020999908447266,0,0,0,2019,7,1
19,^TNX,2.028000116348267,2.028000116348267,1.445999979972839,1.50600004196167,0,0,0,2019,8,1
20,^TNX,1.483000040054321,1.902999997138977,1.429000020027161,1.674999952316284,0,0,0,2019,9,1
